Subject,Topic,Q#,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Why Other Options Are Wrong
Chemistry,Metals & Their Compounds,172,The test for Cu2+ ions involves,Adding NaOH — white precipitate,Adding NaOH — blue precipitate (Cu(OH)2),Adding AgNO3 — blue precipitate,Adding BaCl2 — blue precipitate,B,Test for Cu2+: Add NaOH solution. Cu2+ + 2OH- → Cu(OH)2↓ (blue precipitate). Cu(OH)2 dissolves in excess concentrated NH3 to form a deep blue [Cu(NH3)4]2+ complex (further confirmation).,"A: White precipitate with NaOH indicates Al3+, Zn2+, or Ca2+. C: AgNO3 is not used to test for Cu2+. D: BaCl2 tests for SO4 2-."
Chemistry,Organic Chemistry,173,The general formula for alkanes is,CnH2n,CnH2n-2,CnH2n+2,CnH2n+1,C,Alkanes (saturated hydrocarbons) have the general formula CnH2n+2 where n is the number of carbon atoms. Example: methane (n=1) = CH4 = CnH2n+2 ✓,"A: CnH2n is the formula for alkenes (one double bond). B: CnH2n-2 is the formula for alkynes (triple bond) or cycloalkenes. D: CnH2n+1 is the formula for an alkyl GROUP, not a complete molecule."
Chemistry,Organic Chemistry,174,Which of the following is an example of structural isomerism?,Cis-but-2-ene and trans-but-2-ene,Butane (CH3CH2CH2CH3) and methylpropane (CH3CH(CH3)CH3),12C and 13C,Diamond and graphite,B,Structural isomers have the same molecular formula (C4H10) but different structural arrangements. Butane (straight chain) and methylpropane (branched) both have formula C4H10 — they are structural isomers.,"A: Cis and trans but-2-ene are GEOMETRIC (stereoisomers). C: 12C and 13C are isotopes, not isomers. D: Diamond and graphite are allotropes of carbon."
Chemistry,Organic Chemistry,175,The IUPAC name of CH3CH2CH2OH is,Propanol,Propan-1-ol,1-Propyl alcohol,Propanal,B,"The compound has a 3-carbon chain (prop-), an OH group (-ol) on carbon 1 (-1-). The IUPAC name is propan-1-ol. The locant '1' specifies the position of the OH group on the chain.","A: 'Propanol' is ambiguous (could be propan-1-ol or propan-2-ol); IUPAC requires the locant. C: '1-Propyl alcohol' is not an acceptable IUPAC format. D: Propanal (CH3CH2CHO) is the aldehyde, not the alcohol."
Chemistry,Organic Chemistry,176,"Which reagent is used to distinguish between primary, secondary, and tertiary alcohols (Lucas test)?",K2Cr2O7 / H2SO4,Fehling's solution,Concentrated HCl and anhydrous ZnCl2 (Lucas reagent),Tollens' reagent,C,"Lucas test: Concentrated HCl + anhydrous ZnCl2. The alcohol reacts to form an alkyl chloride (turbidity/cloudiness). Rate: 3° alcohol reacts immediately, 2° within 5 min (warming), 1° alcohol does not react (or very slowly with heat).","A: K2Cr2O7/H2SO4 distinguishes oxidizable alcohols (1°→aldehyde/acid, 2°→ketone) from 3° (no reaction) by colour change. B: Fehling's distinguishes aldehydes from ketones. D: Tollens' distinguishes aldehydes from ketones."
Chemistry,Organic Chemistry,177,Ethanol can be produced industrially by fermentation of,Ethyne + H2,Sugars/carbohydrates by yeast (enzyme zymase),Direct hydration of ethylene over acid catalyst,Both B and C are industrial methods,D,"Industrial production of ethanol uses TWO methods: (1) Fermentation: C6H12O6 → 2C2H5OH + 2CO2 (using yeast/zymase), and (2) Catalytic hydration: C2H4 + H2O → C2H5OH (H3PO4 catalyst, 300°C). The JAMB syllabus mentions both.","A: Ethyne + H2 gives ethylene (hydrogenation), not ethanol directly. B: Fermentation is one industrial method but the question asks for all industrial methods. C: Hydration is one industrial method but not the only one."
Chemistry,Organic Chemistry,178,The functional group of alkanals (aldehydes) is,-OH,-COOH,-CHO,-CO- (inside chain),C,"The aldehyde functional group is -CHO (formyl group), where the carbonyl carbon (C=O) has at least one hydrogen atom attached. For example, ethanal (CH3CHO) has this group at the end of the chain.",A: -OH is the alcohol (alkanol) functional group. B: -COOH is the carboxylic acid (alkanoic acid) functional group. D: -CO- (internal carbonyl) is the ketone (alkanone) functional group.
Chemistry,Organic Chemistry,179,Ethanoic acid reacts with ethanol to form,Ethane + water,Ethyl ethanoate (an ester) + water,Diethyl ether + water,Ethyne + water,B,Esterification: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O. Ethanoic acid + ethanol → ethyl ethanoate (ester) + water. H2SO4 is the catalyst.,"A: Ethane would require reduction, not esterification. C: Diethyl ether is formed from two molecules of alcohol, not acid + alcohol. D: Ethyne formation requires different conditions."
Chemistry,Organic Chemistry,180,Which of the following tests would give a POSITIVE result with ethanal (CH3CHO) but NOT with propanone (CH3COCH3)?,Adding Na2CO3 — effervescence,Fehling's solution — brick red precipitate,Bromine water — decolourization,"2,4-DNP — orange precipitate",B,"Fehling's solution (alkaline Cu2+) oxidizes ALDEHYDES to carboxylic acids, producing a brick-red (Cu2O) precipitate. KETONES are NOT oxidized by Fehling's. Tollens' silver mirror test also distinguishes them.","A: Na2CO3 effervescence tests for carboxylic acids; neither CHO nor ketones react. C: Bromine water tests for unsaturation (alkenes) or phenol, not this distinction. D: 2,4-DNP reacts with BOTH aldehydes and ketones (both have C=O)."
Chemistry,Organic Chemistry,181,Saponification is the process of,Making synthetic rubber from polymers,Hydrolysis of fats/oils (alkanoates) with NaOH or KOH to produce soap and glycerol,Fermentation of sugars to produce alcohol,Cracking of petroleum fractions,B,Saponification: fat/oil (ester of glycerol + long-chain fatty acids) + NaOH → sodium soap (sodium salt of fatty acid) + glycerol. The JAMB syllabus specifically mentions saponification as alkanoate hydrolysis.,A: Synthetic rubber production uses polymerization of isoprene/butadiene. C: Fermentation produces alcohol from sugars. D: Cracking breaks long-chain hydrocarbons into shorter ones.
Chemistry,Organic Chemistry,182,The octane number of petrol is a measure of,The number of carbon atoms in petrol,The percentage of octane in the mixture,The anti-knock quality of petrol (resistance to premature ignition),The density of petrol,C,"The octane number (octane rating) is a measure of a fuel's ability to resist knocking (premature detonation) in an engine. Higher octane = better anti-knock performance. 2,2,4-trimethylpentane (isooctane) is assigned octane number 100.","A: Petrol contains many hydrocarbons; the octane number is not about counting carbons. B: It is a rating scale from 0-100, not a percentage. D: Density is a physical property measured separately."
Chemistry,Organic Chemistry,183,Polythene (polyethene) is produced by,Condensation polymerization of ethanol,Addition polymerization of ethene (CH2=CH2),Fermentation of glucose,Cracking of propene,B,Polythene is an addition polymer formed when many ethene monomers (CH2=CH2) join together by breaking their double bonds: nCH2=CH2 → (-CH2-CH2-)n. No small molecule is lost in addition polymerization.,"A: Condensation polymerization produces polyesters, nylon, etc. with loss of H2O. C: Fermentation produces ethanol, not polythene. D: Cracking of propene yields smaller hydrocarbons, not polythene."
Chemistry,Organic Chemistry,184,Proteins are polymers of,Amino acids joined by peptide bonds,Glucose units joined by glycosidic bonds,Fatty acids joined by ester bonds,Nucleotides joined by phosphodiester bonds,A,Proteins are polypeptides — chains of amino acid monomers joined by peptide bonds (-CO-NH-) formed by condensation reactions between the amino (-NH2) and carboxyl (-COOH) groups of adjacent amino acids.,"B: Glucose units joined by glycosidic bonds describes polysaccharides (starch, cellulose). C: Fatty acids + glycerol joined by ester bonds describes fats/oils. D: Nucleotides in phosphodiester bonds describes DNA/RNA."
Chemistry,Organic Chemistry,185,The Biuret test is used to detect,Glucose (simple sugars),Starch,Proteins (peptide bonds),Lipids (fats),C,"The Biuret test detects proteins: add NaOH, then dilute CuSO4. If protein (peptide bonds) is present, the solution turns purple/violet. The Cu2+ coordinates with peptide bonds. The JAMB syllabus lists Biuret as one of the protein tests.",A: Glucose is tested with Fehling's/Benedict's (brick-red precipitate). B: Starch is tested with iodine solution (blue-black colour). D: Lipids are tested with ethanol-water emulsion test.
Chemistry,Organic Chemistry,186,"Cellulose is obtained from cotton. In terms of carbohydrate classification, cellulose is",A monosaccharide,A disaccharide,A polysaccharide,A trisaccharide,C,"Cellulose is a polysaccharide — a polymer of β-glucose units linked by β-1,4-glycosidic bonds. It forms the structural component of plant cell walls. Monosaccharides = single units (glucose). Disaccharides = 2 units (sucrose). Polysaccharides = many units.","A: Monosaccharides: glucose, fructose, galactose (single sugar units). B: Disaccharides: sucrose, maltose, lactose (2 sugar units). D: 'Trisaccharide' is not one of the standard JAMB classification categories."
Chemistry,Organic Chemistry,187,Benzene (C6H6) is an aromatic compound that is more stable than expected because of,Its ring structure with alternating single and double bonds,Delocalization of π electrons over all six carbon atoms (resonance stabilization),The presence of six hydrogen atoms,Its high boiling point,B,Benzene's exceptional stability (resistance to addition reactions) arises from the delocalization of the six π electrons uniformly over the ring (resonance hybrid). This makes it 150 kJ/mol more stable than a hypothetical cyclohexatriene.,"A: This describes a Kekulé structure; the real benzene has equal C-C bonds due to delocalization. C: The H atoms are standard; stability comes from electron delocalization. D: High boiling point is a consequence, not the cause of stability."
Chemistry,Organic Chemistry,188,Natural rubber is a polymer of,Ethene (ethylene),Propene (propylene),"2-methylbuta-1,3-diene (isoprene)",Styrene (phenylethene),C,"Natural rubber (polyisoprene) is a polymer of isoprene (2-methylbuta-1,3-diene, CH2=C(CH3)-CH=CH2). The double bonds polymerize to form the long-chain polymer. The JAMB syllabus explicitly mentions this.",A: Polyethene (polythene) is the polymer of ethene. B: Polypropylene is the polymer of propene. D: Polystyrene is the polymer of styrene.
Chemistry,Organic Chemistry,189,The process of vulcanization of rubber involves,Adding antioxidants to prevent oxidation,Cross-linking rubber chains with sulphur to improve strength and elasticity,Adding carbon black to improve colour,Dissolving rubber in benzene,B,"Vulcanization (discovered by Goodyear) involves heating natural rubber with sulphur. Sulphur atoms form cross-links (bridges) between adjacent polymer chains, making the rubber stronger, more elastic, less tacky, and more resistant to heat and chemicals.",A: Antioxidants preserve rubber but are not vulcanization. C: Carbon black reinforces rubber but is not vulcanization. D: Dissolving in benzene gives rubber solution (used as adhesive) but is not vulcanization.
Chemistry,Organic Chemistry,190,What is the structural feature that distinguishes a primary alcohol from a secondary alcohol?,A primary alcohol has more carbon atoms,"In a primary alcohol, the carbon bearing the OH group is attached to only one other carbon atom",A secondary alcohol has a higher boiling point,A primary alcohol is more reactive,B,"Classification: Primary alcohol: -OH on C attached to 1 C (e.g., CH3CH2OH). Secondary alcohol: -OH on C attached to 2 C atoms (e.g., (CH3)2CHOH). Tertiary: -OH on C attached to 3 C atoms.","A: Number of carbons doesn't determine primary/secondary classification. C: Boiling point is a property, not the structural definition. D: Reactivity toward oxidation differs (1° and 2° can be oxidized; 3° cannot) but this is a consequence, not the definition."
Chemistry,Organic Chemistry,191,Nylon is an example of,An addition polymer,A condensation polymer,A natural polymer,A thermosetting plastic,B,"Nylon is a synthetic polyamide — a condensation polymer formed by the reaction of a dicarboxylic acid and a diamine, with loss of water (H2O) for each amide bond (-CO-NH-) formed. It is a thermoplastic.","A: Addition polymers (polythene, PVC) form with no small molecule loss. C: Natural polymers include cellulose, silk, natural rubber. D: Nylon is a thermoplastic (can be remoulded); thermosetting plastics (bakelite) cannot."
Chemistry,Organic Chemistry,192,The cracking of petroleum fractions converts,Short chain alkanes into longer chain hydrocarbons,"Long chain hydrocarbons into shorter, more useful ones (including alkenes)",Alkenes into alkanes by addition of H2,Crude oil into petrol by distillation,B,"Cracking breaks long-chain hydrocarbon molecules (from heavy fractions) into shorter, more useful molecules, including alkenes. Two types: thermal cracking (high temp/pressure) and catalytic cracking (zeolite catalyst at ~500°C).","A: Cracking converts LONG chains to SHORT chains, not the reverse. C: This describes hydrogenation (reduction) of alkenes. D: Distillation separates fractions; cracking converts them."
Chemistry,Organic Chemistry,193,Ethyne (acetylene) can be produced from,Fermentation of glucose,Action of water on calcium carbide (CaC2),Dehydration of ethanol,Cracking of methane,B,CaC2 + 2H2O → Ca(OH)2 + C2H2↑. Calcium carbide reacts with water to produce ethyne (acetylene) gas. The JAMB syllabus explicitly cites this as the method of production of ethyne.,"A: Fermentation produces ethanol. C: Dehydration of ethanol gives ethene (C2H4), not ethyne. D: Cracking methane primarily gives C and H2."
Chemistry,Organic Chemistry,194,Fats and oils differ primarily in that at room temperature,"Fats are liquid, oils are solid","Fats are solid (saturated), oils are liquid (unsaturated)","Fats contain phosphorus, oils do not","Fats are proteins, oils are lipids",B,"Fats (solid at room temp) are esters of glycerol and SATURATED fatty acids — packed tightly, high melting point. Oils (liquid at room temp) are esters of glycerol and UNSATURATED fatty acids — kinked chains, lower melting point.","A: This is reversed. C: Phosphorus is in phospholipids, not in fats or oils. D: Both fats and oils are lipids (alkanoates); proteins are a completely different class."
Chemistry,Organic Chemistry,195,The Ninhydrin test is used to detect the presence of,Glucose,Starch,Amino acids and proteins,Lipids,C,"Ninhydrin reacts with free amino groups (-NH2) of amino acids and proteins, producing a purple (Ruhemann's purple) colour. The JAMB syllabus lists Ninhydrin as one of the protein/amino acid tests.",A: Glucose is detected by Fehling's/Benedict's test. B: Starch is detected by iodine solution (blue-black). D: Lipids are detected by the emulsion test.
Chemistry,Organic Chemistry,196,Thermoplastics differ from thermosetting plastics in that thermoplastics,Cannot be recycled,Can be repeatedly softened by heating and remoulded (reversible),Are always stronger and harder,Are made only from natural materials,B,"Thermoplastics (e.g., polythene, PVC, nylon) soften on heating and can be remoulded — their polymer chains are not cross-linked. Thermosetting plastics (e.g., Bakelite, melamine) have extensive cross-links and cannot be remoulded once set.",A: Thermoplastics CAN be recycled (this is their advantage). C: Thermosetting plastics are generally harder. D: Both types can be synthetic.
Chemistry,Chemistry & Industry,197,Biotechnology in the chemical industry involves,Using machines to speed up chemical production,"Using biological organisms or their products (enzymes, fermentation) in industrial processes",Adding biological compounds as fuel additives,Testing chemicals on animals,B,"Biotechnology uses biological systems (bacteria, fungi, enzymes) for industrial purposes: fermentation (ethanol, antibiotics), enzyme-catalyzed reactions (food processing), bioremediation, and production of pharmaceuticals.","A: Using machines is automation/engineering. C: Fuel additives is a chemical engineering topic. D: Testing on animals is pharmaceutical safety testing, not biotechnology in industrial chemistry."
Chemistry,Chemistry & Industry,198,Fine chemicals differ from heavy chemicals in that fine chemicals,Are produced in large quantities for industrial use,"Are produced in small quantities for specialized applications (pharmaceuticals, dyes, perfumes)",Are cheaper per gram,Are produced from biological sources only,B,"Fine chemicals: high purity, small quantities, high cost per gram, complex synthesis (pharmaceuticals, pesticides, dyes, perfumes, food additives). Heavy chemicals: large quantities, relatively cheap per unit (H2SO4, NaOH, Cl2, Na2CO3).",A: This describes heavy (bulk) chemicals. C: Fine chemicals are MORE expensive per gram due to purity and complexity. D: Fine chemicals can be synthetic or natural.
Chemistry,Chemistry & Industry,199,Which of the following is a HEAVY chemical?,Aspirin,Penicillin,Sulphuric acid,Vitamin C,C,"Sulphuric acid (H2SO4) is the world's most produced heavy/bulk chemical, manufactured in millions of tonnes per year. It is used in fertilizer production, petroleum refining, and many industrial processes.",A: Aspirin (acetylsalicylic acid) is a pharmaceutical = fine chemical. B: Penicillin is an antibiotic = fine chemical. D: Vitamin C (ascorbic acid) is a pharmaceutical/food supplement = fine chemical.
Chemistry,Chemistry & Industry,200,The primary raw material for the petrochemical industry is,Coal,Natural gas and crude petroleum,Sodium chloride,Limestone,B,"Petrochemicals are chemicals derived from petroleum (crude oil) and natural gas. These include plastics, synthetic fibres, detergents, solvents, and most organic chemicals produced industrially. They are the starting materials for organic synthesis.","A: Coal is used in the coal-chemical industry (coke, coal tar) but is not the primary petrochemical feedstock. C: Sodium chloride is the raw material for the chlor-alkali industry. D: Limestone is for cement and Ca-based chemicals."
