"Question Number","Section","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"171","Section D: Heredity and Variation","Reproduction","The process by which gametes are formed through meiosis is called","mitosis","gametogenesis","fertilisation","cleavage","B","Gametogenesis is the production of gametes (sex cells) through meiosis. In males, it is spermatogenesis (producing sperm); in females, oogenesis (producing eggs).","A: Mitosis produces somatic (body) cells, not gametes. C: Fertilisation is the fusion of gametes, not their production. D: Cleavage is the rapid mitotic divisions of the zygote after fertilisation."
"172","Section D: Heredity and Variation","Agricultural Genetics","Which of the following is an example of an out-breeding strategy in agriculture?","Mating siblings of the same pure breed repeatedly","Crossing two different established breeds to produce offspring with hybrid vigour (heterosis)","Self-pollinating a plant for multiple generations","Cloning an organism through vegetative propagation","B","Out-breeding (cross-breeding or hybridisation) involves mating unrelated individuals, often of different breeds or varieties. It exploits heterosis (hybrid vigour) — offspring are often larger, healthier, or more productive than either parent.","A: Mating siblings is inbreeding. C: Self-pollination for multiple generations is extreme inbreeding. D: Cloning maintains the same genotype — it is neither inbreeding nor outbreeding."
"173","Section D: Heredity and Variation","Genetics Terminology","Which of the following best describes the phenotypic expression of a codominant trait?","Only the dominant allele is expressed in the phenotype","Neither allele is expressed — a completely new trait appears","Both alleles are fully expressed simultaneously in the heterozygote","The recessive allele is partially expressed in heterozygotes","C","In codominance, both alleles are equally and fully expressed in the heterozygote. Example: Blood group AB — both IA and IB are expressed, producing A and B antigens on red blood cells simultaneously.","A: That describes simple dominant-recessive inheritance. B: This describes incomplete dominance (a blended phenotype), not codominance. D: Partial expression of the recessive allele describes incomplete dominance."
"174","Section D: Heredity and Variation","Reproduction","Identical (monozygotic) twins arise from","two eggs fertilised by two different sperm","one egg fertilised by two sperm","one fertilised egg that splits into two embryos","two eggs fertilised by the same sperm","C","Monozygotic (identical) twins develop when a single fertilised egg (zygote) splits completely into two separate embryos at an early developmental stage. They share identical DNA.","A: Two eggs fertilised by two sperm produce fraternal (dizygotic) twins. B: One egg fertilised by two sperm is not a normal developmental pathway. D: Two eggs cannot be fertilised by the same single sperm."
"175","Section D: Heredity and Variation","Variation","Phenylthiocarbamide (PTC) tasting ability demonstrates","continuous variation in the human population","sex-linked variation","discontinuous variation — individuals are either tasters or non-tasters","environmentally induced variation","C","PTC tasting is a classic example of discontinuous variation. The ability to taste PTC (bitter) is controlled by the TAS2R38 gene. Individuals are distinctly either tasters (dominant allele) or non-tasters (recessive homozygote) — no intermediate.","A: PTC tasting has two discrete phenotype classes — no continuous range. B: The TAS2R38 gene is autosomal (chromosome 7), not sex-linked. D: PTC tasting is genetically determined, not environmentally induced."
"176","Section E: Evolution","Theories of Evolution","Lamarck's theory of evolution is based on the concept of","natural selection of random mutations","inheritance of acquired characteristics through use and disuse of organs","genetic recombination during sexual reproduction","geographical isolation leading to speciation","B","Lamarck proposed that organs used extensively develop and enlarge (use) while unused organs shrink (disuse), and these acquired changes are inherited by offspring. Though largely discredited, it was an important early evolutionary theory.","A: Natural selection and random mutations are Darwin's mechanism. C: Genetic recombination is part of modern evolutionary theory. D: Geographic isolation is a concept in allopatric speciation, not Lamarck's framework."
"177","Section E: Evolution","Theories of Evolution","Darwin's theory of evolution by natural selection states that","organisms acquire new traits during their lifetime and pass them to offspring","individuals with traits better suited to their environment survive and reproduce more successfully","all species were created in their current form and do not change","evolution is always directed toward complexity","B","Darwin's natural selection: heritable variation exists in populations; those individuals with advantageous traits survive and reproduce more ('survival of the fittest'). Their traits become more common over generations, leading to evolutionary change.","A: This is Lamarck's concept of inheritance of acquired characteristics. C: This is the creationist/fixity of species view, which evolution directly challenges. D: Evolution is not inherently directed toward complexity — it adapts organisms to their environment."
"178","Section E: Evolution","Evidence for Evolution","Which of the following provides the best evidence that modern whales evolved from land-dwelling ancestors?","Whales breathe air through lungs","Whales have vestigial pelvic bones","Whales produce milk for their young","Whales are warm-blooded","B","Vestigial pelvic bones in whales are remnants of a hind-limb structure from their terrestrial ancestor. These non-functional skeletal remnants are strong anatomical evidence of evolutionary descent from land mammals.","A: Breathing with lungs is consistent with evolution from land ancestors, but vestigial bones are more direct anatomical evidence. C: Producing milk is a mammalian characteristic — consistent with ancestry but not specific evidence of terrestrial origins. D: Being warm-blooded is a general mammalian trait."
"179","Section E: Evolution","Evidence for Evolution","Fossil records provide evidence for evolution because they","show that all organisms were created simultaneously","demonstrate that organisms have remained unchanged throughout geological time","reveal a progression of increasingly complex organisms in successive geological layers","prove that environmental changes have no effect on organisms","C","Fossil records show that older rock layers contain simpler life forms and younger layers contain more complex organisms. The succession of forms in geological strata documents evolutionary transitions and change over time.","A: The fossil record shows change over time — evidence against simultaneous creation. B: Organisms have clearly changed — different fossils appear in different geological periods. D: The fossil record actually shows responses to environmental change (mass extinctions, adaptive radiations)."
"180","Section E: Evolution","Evolution Concepts","The concept of organic evolution is best defined as","the development of an individual organism from embryo to adult","the sum total of all adaptive changes in populations over long periods, resulting in diversity of life","the genetic changes within a single individual during its lifetime","the process of growth and development from birth to maturity","B","Organic evolution refers to the gradual change in heritable characteristics of biological populations over successive generations through processes such as natural selection, mutation, genetic drift, and gene flow — resulting in the diversity of all life on Earth.","A: Development of an individual (ontogeny) is not evolution. C: Evolution occurs in populations, not individuals. D: Growth from birth to maturity is development, not evolution."
"181","Section E: Evolution","Evidence for Evolution","Comparative anatomy provides evidence for evolution through the existence of","identical functions of all organs across species","homologous structures — same basic structure but different functions","no similarities between distantly related species","organs that perform identical functions and have identical structures","B","Homologous structures (e.g. the forelimb bones of humans, whales, bats, and horses) have the same basic skeletal arrangement but are modified for different functions. This similarity suggests common ancestry.","A: Organs do not have identical functions across all species. C: Distantly related species do share certain anatomical similarities due to common ancestry. D: Analogous structures (e.g. wings of birds and insects) have similar functions but different structures — not evidence of common ancestry."
"182","Section E: Evolution","Genetic Variation","A mutation is best defined as","a change in the behaviour of an organism in response to its environment","a heritable change in the nucleotide sequence of DNA","the passing of acquired traits from parent to offspring","a temporary change in phenotype caused by environmental stress","B","A mutation is a permanent, heritable change in the DNA sequence. It can involve a single base (point mutation) or larger chromosomal rearrangements. Mutations are the ultimate source of all new genetic variation in populations.","A: Behavioural changes are not mutations — they are acquired traits. C: Passing acquired traits is Lamarckism (not the accepted mechanism). D: Temporary phenotypic changes are not mutations — they are not heritable."
"183","Section E: Evolution","History of Evolution","Which of the following is a correct contribution of Darwin to evolutionary theory?","He discovered the DNA double helix structure","He proposed the mechanism of natural selection as the driving force of evolution","He developed the concept of mutation and gene theory","He classified organisms into kingdoms using binomial nomenclature","B","Darwin's key contribution was the theory of evolution by natural selection — published in 'On the Origin of Species' (1859). He argued that heritable variation + differential survival/reproduction = evolutionary change.","A: DNA double helix was discovered by Watson and Crick (1953). C: Mutation theory was developed by Hugo de Vries; gene theory by Thomas Hunt Morgan and others. D: Binomial nomenclature was developed by Carl Linnaeus."
"184","Section E: Evolution","Evidence for Evolution","Analogous structures, such as the wings of birds and insects, are evidence of","common ancestry (homology)","convergent evolution — similar function in unrelated organisms","divergent evolution from the same ancestor","genetic recombination","B","Analogous structures are functionally similar but anatomically different structures that evolved independently in unrelated lineages to perform the same function (convergent evolution). They do NOT suggest common ancestry.","A: Homologous structures (same anatomy, different function) suggest common ancestry. C: Divergent evolution from a common ancestor produces homologous structures. D: Genetic recombination is a mechanism of variation within a population, not related to analogous structures."
"185","Section E: Evolution","Natural Selection","Industrial melanism in the peppered moth (Biston betularia) is a classic example of","Lamarckian evolution — moths becoming darker due to coal dust","natural selection — dark moths had a survival advantage on soot-covered bark","sexual selection — females preferred darker males","genetic drift in a small population","B","Before industrialisation, light-coloured moths were camouflaged on lichen-covered bark and were less visible to predators. Industrial pollution killed lichens and darkened bark with soot. Dark (melanic) moths then had a survival advantage, were less predated, and became more common — natural selection.","A: The moths did not become dark because of individual use/need — the dark mutation already existed; selection increased its frequency. C: Sexual selection involves mate choice — predation by birds was the selection pressure here. D: Genetic drift occurs in very small populations due to chance — this was directed selection in a large population."
"186","Section E: Evolution","Evidence for Evolution","Vestigial organs are important evidence for evolution because they","are fully functional in all species that possess them","are remnants of structures that were functional in ancestral organisms, suggesting evolutionary history","always increase in size through generations due to use","appear only in extinct organisms found in the fossil record","B","Vestigial structures (e.g. human appendix, coccyx, ear muscles, whale pelvic bones) are reduced, non-functional remnants of structures that were functional in evolutionary ancestors. Their presence reveals evolutionary history and descent with modification.","A: Vestigial organs are non-functional (or reduced in function) in current organisms. C: Vestigial organs tend to reduce in size over evolutionary time (as selection does not maintain them). D: Vestigial organs are found in living organisms, not only in fossils."
"187","Section E: Evolution","Evidence for Evolution","Comparative embryology supports evolution because it shows that","embryos of all species are identical throughout development","distantly related vertebrates share similar embryonic stages, suggesting common ancestry","embryos develop in opposite patterns in related species","embryo structure is entirely determined by the environment","B","Vertebrate embryos (fish, amphibians, reptiles, birds, mammals) show striking similarities in early developmental stages (gill slits, tail structures, somites). These shared features suggest common ancestry — embryonic similarities persist because of shared ancestral developmental genes.","A: Embryos diverge as development proceeds — they are not identical throughout. C: Related species show convergent early embryonic patterns, not opposite patterns. D: Embryo development is primarily genetically determined, not environmental."
"188","Section E: Evolution","Modern Evolutionary Theory","The modern synthetic theory of evolution (neo-Darwinism) combines","Lamarck's use and disuse with Mendel's genetics","Darwin's natural selection with Mendelian genetics, population genetics, and molecular biology","Darwin's theory with Lamarck's inheritance of acquired characteristics","geology and comparative anatomy only","B","The Modern Synthesis (neo-Darwinism) integrates Darwin's natural selection with Mendel's genetics, population genetics (Hardy-Weinberg), molecular biology (mutations in DNA), and palaeontology, providing a comprehensive mechanistic explanation of evolution.","A: Lamarck's use and disuse is not part of the Modern Synthesis (it was largely discredited). C: Lamarckian inheritance is not included in neo-Darwinism. D: The Modern Synthesis incorporates genetics and molecular biology, not just geology and anatomy."
"189","Section E: Evolution","Speciation","Speciation is best defined as","a change in the frequency of one allele in a population","the process by which new species arise from pre-existing species, usually through reproductive isolation","the extinction of existing species","the development of new traits in an individual organism","B","Speciation is the evolutionary process by which populations diverge to become distinct species, typically involving reproductive isolation (geographical, behavioural, or temporal) preventing gene flow, allowing independent evolution.","A: Allele frequency change is microevolution — it does not necessarily lead to speciation. C: Extinction is the opposite of speciation. D: Trait development in an individual is development, not speciation."
"190","Section E: Evolution","Natural Selection","Natural selection acts on","the genotype of an individual","the phenotype of individuals in a population","the DNA sequence directly","all individuals in a population equally","B","Natural selection acts on observable phenotypes — it is the expressed traits that determine survival and reproduction. An individual with a beneficial phenotype (regardless of its exact genotype) is more likely to survive and reproduce, passing on the underlying genes.","A: Selection cannot directly 'see' the genotype; it acts on phenotype. C: DNA is the inherited material, but selection operates through phenotypic effects. D: Selection is differential — individuals differ in survival and reproduction."
"191","Section E: Evolution","Speciation","Geographical isolation promotes speciation because it","allows unlimited gene flow between separated populations","prevents interbreeding between populations, allowing independent divergence","increases mutation rate in isolated populations","accelerates reproduction in isolated populations","B","When populations are geographically separated (by mountains, oceans, rivers), gene flow stops. Each population is subject to different selective pressures, mutations, and genetic drift, causing them to diverge genetically until they are reproductively incompatible — separate species.","A: Geographical barriers prevent gene flow. C: Geographical isolation does not inherently increase mutation rate. D: Isolation may actually reduce population size (bottleneck effect) rather than accelerate reproduction."
"192","Section E: Evolution","Evidence for Evolution","The occurrence of similar proteins (e.g. cytochrome c) in organisms from different taxonomic groups is evidence of","convergent evolution","common ancestry and evolution from shared ancestors","horizontal gene transfer only in plants","the fixity of species","B","Cytochrome c (involved in cellular respiration) is found in virtually all aerobic organisms. Differences in the amino acid sequence between species correlate with evolutionary distance — organisms sharing more recent common ancestors have more similar cytochrome c sequences. This molecular evidence supports common descent.","A: Convergent evolution produces functionally similar but structurally different results — cytochrome c similarity in related organisms indicates shared ancestry. C: Horizontal gene transfer occurs in bacteria; it does not explain universal cytochrome c similarity across all life. D: Molecular similarity across species contradicts fixity of species."
"193","Section E: Evolution","Natural Selection","The peppered moth example demonstrates that natural selection is","random and non-directional","directional, favouring traits that improve survival in a given environment","always stabilising, maintaining the average phenotype","only sexual selection","B","The peppered moth case shows directional selection — the environment (soot-darkened trees) favoured darker moths because they were less visible to bird predators. The frequency of dark moths increased rapidly, demonstrating selection acting in a specific direction.","A: Natural selection is not random — it differentially favours certain phenotypes. C: Stabilising selection maintains the average (e.g. human birth weight); directional selection shifts the average. D: The peppered moth example is driven by predation, not mate choice."
"194","Section E: Evolution","Mechanisms of Evolution","Which of the following scenarios demonstrates genetic drift?","Antibiotics kill most bacteria in a population; resistant bacteria survive and reproduce","In a small isolated population, certain alleles become common or disappear by chance","Sexual selection drives the evolution of elaborate peacock tail feathers","New plant species arise due to polyploidy","B","Genetic drift is random change in allele frequencies in a population due to chance events, not natural selection. It has the greatest effect in small populations, where random sampling can dramatically change allele frequencies.","A: Bacteria surviving antibiotics is natural selection (directional). C: Peacock tail feathers are driven by sexual selection (non-random). D: Polyploidy-driven speciation is a form of sympatric speciation."
"195","Section E: Evolution","Evidence for Evolution","The presence of gill pouches (pharyngeal arches) in human embryos is evidence that","humans breathe through gills as adults","humans share a common ancestor with fish and other aquatic vertebrates","human embryos develop in water","humans evolved from amphibians only","B","Pharyngeal (gill) arches in early human embryos are a developmental remnant of ancestral fish. Their presence in all vertebrate embryos (though they develop into different structures in each class) is strong evidence of common vertebrate ancestry.","A: Humans develop lungs — gill pouches don't become functional gills. C: Human embryos develop in amniotic fluid, not water; the presence of gill pouches is a genetic evolutionary remnant. D: Gill pouches suggest ancestry beyond amphibians — back to fish."
"196","Section E: Evolution","Adaptive Radiation","Darwin observed that finches on the Galapagos Islands had diverse beak shapes. This diversity is best explained by","Lamarckian use and disuse — birds used their beaks differently and passed on the shapes","adaptive radiation — finches from a common ancestor diversified to exploit different food sources on different islands","random mutation only, without any selection","interbreeding with mainland South American finches regularly","B","Galapagos finches underwent adaptive radiation — descendants of a common ancestor colonised different islands with different food resources (seeds, insects, cactus) and evolved different beak shapes suited to each food source through natural selection.","A: Beak shape is genetically inherited — Lamarckian use-and-disuse is discredited. C: Mutations provide variation, but selection directed the specific beak shapes for particular ecological niches. D: The islands are isolated from the mainland, preventing regular interbreeding."
"197","Section E: Evolution","Evidence for Evolution","The geological time scale provides evidence for evolution because","fossils from all geological periods show identical organisms","older geological layers contain fossils of simpler organisms, with more complex forms appearing in younger layers","the time scale shows that the Earth is only 6,000 years old","most fossils are found at the Earth's surface","B","The geological time scale records the history of life through rock strata. Older, deeper layers contain simple organisms (bacteria, algae in Precambrian); younger layers show increasingly complex organisms (fish in Devonian, mammals in Cenozoic), documenting evolutionary progression over billions of years.","A: Fossils in different periods show different organisms — evidence of change. C: Scientific dating methods (radiometric) show Earth is ~4.5 billion years old. D: Most significant fossils are found in sedimentary rock layers deep below the surface."
"198","Section E: Evolution","Mechanisms of Evolution","Which of the following is NOT a mechanism of evolution?","Natural selection","Genetic drift","Mitosis","Mutation","C","Mitosis is the process of cell division for growth and repair, producing genetically identical daughter cells. It does not cause changes in allele frequencies in populations and therefore is NOT an evolutionary mechanism. Mutation, natural selection, genetic drift, and gene flow are the recognised mechanisms of evolution.","A: Natural selection is the primary mechanism of adaptive evolution. B: Genetic drift causes random allele frequency changes. D: Mutation is the ultimate source of new genetic variation."
"199","Section E: Evolution","Convergent Evolution","Convergent evolution is best illustrated by","the similar forelimb bones of humans, bats, and whales","the wings of bats (mammals) and wings of birds — similar function, different structure","the gradual increase in horse body size over 50 million years","the similar DNA sequences of humans and chimpanzees","B","Convergent evolution occurs when unrelated organisms independently evolve similar adaptations to similar environments. Bat wings and bird wings both enable flight but evolved independently from different ancestral forelimb structures.","A: Similar forelimb bones in humans, bats, and whales are homologous structures — evidence of divergent evolution from a common ancestor. C: Horse evolution is an example of directional evolution (phyletic gradualism). D: Similar DNA in humans and chimps reflects common ancestry (divergent evolution)."
"200","Section E: Evolution","Evidence for Evolution","Which evolutionary evidence would be considered the most direct and modern?","Comparative anatomy of forelimbs","Fossil records from geological strata","Molecular evidence — DNA, protein sequences, and genetic studies","Embryological similarities across vertebrate classes","C","Molecular evidence (DNA and protein sequence comparisons, phylogenomics) is considered the most direct modern evidence for evolution. It provides precise measurement of evolutionary distance between species and can reveal relationships not apparent from morphology or embryology.","A: Comparative anatomy is strong but indirect evidence. B: Fossil records are essential but incomplete (fossilisation is rare). D: Embryological evidence is powerful but involves interpretation of developmental patterns."
